Hydr_id        ,Address                                 ,Descript                                          ,CapColor
411066,NE 12th ST & E Tudor ST                 ,Green (1000-1500 gpm)                             ,Green
411089,NE 12th ST & Belmont ST                 ,Unknown                                           ,Unknown
411094,NE 11th ST & Grove ST                   ,Green (1000-1500 gpm)                             ,Green
411096,NE 12th ST & Grove ST                   ,Green (1000-1500 gpm)                             ,Green
411102,NE 11th ST & Van Zandt ST               ,Green (1000-1500 gpm)                             ,Green
411112,NE 11th ST & Martin Luther King Jr. DR  ,Green (1000-1500 gpm)                             ,Green
411142,1400 NE 11th ST                         ,Green (1000-1500 gpm)                             ,Green
411146,NE 12th ST & E Hickory ST               ,Green (1000-1500 gpm)                             ,Green
411233,1105 NE Loop 286 /Chilis                ,Green (1000-1500 gpm)                             ,Green
411264,2600 Stillhouse RD /across from baseball,Green (1000-1500 gpm)                             ,Green
411276,1100 Levi LN                            ,Green (1000-1500 gpm)                             ,Green
412011,NE 13th ST & E Houston ST               ,Green (1000-1500 gpm)                             ,Green
412091,NE 12th ST & Fairfax ST                 ,Green (1000-1500 gpm)                             ,Green
412123,NE 12th ST & Martin Luther King Jr. DR  ,Green (1000-1500 gpm)                             ,Green
412142,NE 12th ST & Johnson ST                 ,Green (1000-1500 gpm)                             ,Green
412184,1200 Clement RD /1200 blk Clement       ,Green (1000-1500 gpm)                             ,Green
412235,1200 NE Loop 286 /1200 blk loop (Movies ,Green (1000-1500 gpm)                             ,Green
412237,1200 NE Loop 286 /1200 blk Loop (Movies ,Green (1000-1500 gpm)                             ,Green
412274,2700 Stillhouse RD /2700 blk            ,Green (1000-1500 gpm)                             ,Green
413018,NE 13th ST & E Price ST                 ,Green (1000-1500 gpm)                             ,Green
413022,NE 13th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
413037,NE 14th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
413047,NE 14th ST & E Booth ST                 ,Green (1000-1500 gpm)                             ,Green
413083,NE 14th ST & Belmont ST                 ,Green (1000-1500 gpm)                             ,Green
413097,NE 14th ST & Grove ST                   ,Green (1000-1500 gpm)                             ,Green
413152,NE 13th ST & E Hickory ST               ,Green (1000-1500 gpm)                             ,Green
414072,NE 14th ST & E Tudor ST                 ,Orange (500-1000 gpm)                             ,Orange
414091,NE 14th ST & Fairfax ST                 ,Orange (500-1000 gpm)                             ,Orange
414123,NE 14th ST & Martin Luther King Jr. DR  ,Green (1000-1500 gpm)                             ,Green
414141,NE 15th ST & Johnson ST                 ,Green (1000-1500 gpm)                             ,Green
414151,NE 15th ST & E Hickory ST               ,Green (1000-1500 gpm)                             ,Green
414184,1400 Clement RD /1400 blk. Clement Rd.  ,Green (1000-1500 gpm)                             ,Green
414265,2810 Stillhouse RD /across from office  ,Green (1000-1500 gpm)                             ,Green
414276,2810 Stillhouse RD /in front of building,Green (1000-1500 gpm)                             ,Green
415006,1500 blk E Houston ST /N of Paris Altern,Green (1000-1500 gpm)                             ,Green
415016,NE 15th ST & E Price ST                 ,Orange (500-1000 gpm)                             ,Orange
415235,1505 NE Loop 286 /1505 Loop (Honda)     ,Green (1000-1500 gpm)                             ,Green
416028,NE 17th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
416073,NE 17th ST & E Tudor ST                 ,Orange (500-1000 gpm)                             ,Orange
416087,1600 Belmont ST & NE 17th ST            ,Unknown                                           ,Unknown
416099,NE 17th ST & Grove ST                   ,Green (1000-1500 gpm)                             ,Green
416189,NE 17th ST & Clement RD                 ,Green (1000-1500 gpm)                             ,Green
416223,1625 NE Loop 286 /Morrell Auto Group    ,Green (1000-1500 gpm)                             ,Green
416266,2810 Stillhouse RD /in front of building,Orange (500-1000 gpm)                             ,Orange
416293,2885 Stillhouse RD /Brentwood Terrace   ,Orange (500-1000 gpm)                             ,Orange
416295,2885 Stillhouse RD /Brentwood Terrace   ,Green (1000-1500 gpm)                             ,Green
417016,100 NE 17th ST /100 Blk. 17th NE        ,Green (1000-1500 gpm)                             ,Green
417042,NE 17th ST & E Cherry ST                ,Green (1000-1500 gpm)                             ,Green
417123,NE 17th ST & Martin Luther King Jr. DR  ,Green (1000-1500 gpm)                             ,Green
417148,1400 blk NE 17th ST                     ,Green (1000-1500 gpm)                             ,Green
417152,Ballard DR & E Hickory ST               ,Green (1000-1500 gpm)                             ,Green
417166,1600 blk NE 17th ST                     ,Green (1000-1500 gpm)                             ,Green
418088,NE 18th ST & Fairfax ST                 ,Orange (500-1000 gpm)                             ,Orange
418112,1800 blk Majestic DR                    ,Green (1000-1500 gpm)                             ,Green
418205,1800 blk NE Loop 286 /trailer park      ,Green (1000-1500 gpm)                             ,Green
418286,2900 Stillhouse RD /Paris Care Center   ,Green (1000-1500 gpm)                             ,Green
418295,2900 Stillhouse RD /Paris Care Center   ,Green (1000-1500 gpm)                             ,Green
419020,NE 19th ST & E Price ST                 ,Green (1000-1500 gpm)                             ,Green
419042,NE 19th ST & E Cherry ST                ,Green (1000-1500 gpm)                             ,Green
